"YEAR","State","Voted","nVote","nWgtVote","n","nWgt","sampPropVote","wgtPropVote"
2016,"New Jersey","Voted",1146,3665125.2471,1489,4826950.2805,0.7696440564137,0.759304536843157
2016,"New Mexico","Voted",919,765035.9789,1433,1217149.7317,0.641311933007676,0.628547136786096
2016,"New York","Voted",2116,7868730.7114,2933,11086214.7292,0.721445618820321,0.709776141235524
2016,"North Carolina","Voted",1440,4700395.7307,1820,5959733.0072,0.791208791208791,0.788692333200399
2016,"North Dakota","Voted",952,362180.0019,1321,509631.9296,0.720666161998486,0.710669761575316
2016,"Ohio","Voted",1656,5408378.6792,2292,7534644.6403,0.722513089005236,0.717801427591237
2016,"Oklahoma","Voted",776,1554874.238,1166,2381606.6701,0.665523156089194,0.652867770955106
2016,"Oregon","Voted",971,1941937.8557,1213,2441777.1196,0.800494641384996,0.795296933578491
2016,"Pennsylvania","Voted",1736,6008159.0906,2455,8493218.3669,0.707128309572301,0.707406642694501
2016,"Rhode Island","Voted",517,464061.0946,700,633711.1695,0.738571428571429,0.732291171333063
2016,"South Carolina","Voted",939,2232957.0685,1283,3096800.218,0.731878409976617,0.721052993835717
2016,"South Dakota","Voted",663,362038.8442,944,522302.9479,0.702330508474576,0.693158722644843
2016,"Tennessee","Voted",1019,2630466.5142,1592,4191977.3422,0.640075376884422,0.627500174611989
2016,"Texas","Voted",2656,9626214.9674,3987,14681891.9309,0.666165036368197,0.655652215171285
2016,"Utah","Voted",882,1234176.7836,1230,1744925.9441,0.717073170731707,0.707294649250324
2016,"Vermont","Voted",892,305191.7874,1169,404927.7666,0.763045337895637,0.75369439335455
2016,"Virginia","Voted",1222,3973254.8522,1572,5130784.509,0.77735368956743,0.774395191462523
2016,"Washington","Voted",1077,3382090.9709,1421,4477643.3011,0.757916959887403,0.755328359914051
2016,"West Virginia","Voted",1162,723258.4852,1888,1188213.0917,0.615466101694915,0.6086942571599
2016,"Wisconsin","Voted",975,3067593.5638,1247,3966295.5164,0.781876503608661,0.773415281618828
2016,"Wyoming","Voted",908,276988.9867,1247,382864.6842,0.728147554129912,0.723464446136555
2018,"Alabama","Voted",976,1830304.7463,1511,2856889.3801,0.645929847782925,0.640663498926211
2018,"Alaska","Voted",544,262625.4707,792,387952.1582,0.686868686868687,0.676953240622544
2018,"Arizona","Voted",826,2799686.4689,1169,4040165.8022,0.706586826347305,0.692963260907629
2018,"Arkansas","Voted",728,918828.6365,1249,1611566.1231,0.582866293034427,0.570146408099313
2018,"California","Voted",3683,13239646.9744,5360,19483683.4565,0.687126865671642,0.679524844671149
2018,"Colorado","Voted",635,2341788.4198,802,2990059.7824,0.791770573566085,0.783191170151234
2018,"Connecticut","Voted",510,1369695.8019,765,2112439.574,0.666666666666667,0.648395257671877
2018,"Delaware","Voted",565,368862.7701,854,569999.4633,0.661592505854801,0.647128276164466
2018,"District of Columbia","Voted",927,312782.9016,1286,436735.1571,0.720839813374806,0.716184388902727
2018,"Florida","Voted",2038,7918402.8776,2800,11009955.9224,0.727857142857143,0.719203867246174
2018,"Georgia","Voted",1144,4084056.4528,1628,5837927.8256,0.702702702702703,0.699572960612999
2018,"Hawaii","Voted",585,427084.3313,982,740908.3006,0.595723014256619,0.576433454658478
2018,"Idaho","Voted",692,586685.4158,1195,1033606.8436,0.57907949790795,0.567609840659147
2018,"Illinois","Voted",1358,4740466.2788,2029,7097332.3077,0.669295219319862,0.667922266181196
2018,"Indiana","Voted",722,2363834.6067,1164,3869249.699,0.620274914089347,0.610928420388823
