school,hex,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id
Clemson,#F56600,ACC,Tiger Rag,Original Dixieland Jass Band,1917,No,Yes,No,145,78,No,0,No,No,No,No,No,No,No,No,Yes,1,7hGtgN4N9ebZTlC7xhvKIE
Duke,#FFFFFF,ACC,Fight Blue Devils,Joe Hewitt and Doug Ballin,1947,No,Yes,No,139,58,Yes,5,No,Yes,Yes,No,No,Yes,No,Yes,No,4,0fDiYvMTYWSSrIuHVJGMZj
Florida State,#782F40,ACC,FSU Fight Song,Doug Alley and Tommie Wright,1950,Yes,Yes,No,135,92,Yes,6,Yes,Yes,Yes,No,Yes,No,No,No,Yes,5,552UZRLtAO5YXvIVRLjphI
Georgia Tech,#0039A6,ACC,Ramblin' Wreck From Georgia Tech,Unknown,Unknown,Yes,Yes,No,148,68,No,0,No,No,No,No,No,Yes,Yes,Yes,No,3,0ZOzvjnZDwrtluHrwbtvGR
Louisville,#AD0000,ACC,Fight! U of L,Robert B. Griffith,1962,No,Yes,No,139,80,Yes,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,5,1sCmJDLWfD4hsCHyc9hqUr
Miami,#F47321,ACC,Miami U How-Dee-Doo,Henry Fillmore,1950,No,Yes,No,75,73,Yes,3,Yes,No,Yes,No,No,No,No,No,Yes,3,2TDHghruqAnMmH4L9GFUUr
North Carolina,#7BAFD4,ACC,I'm a Tar Heel Born,Unknown,Unknown,Unknown,Yes,No,158,38,No,0,No,No,No,Yes,No,No,No,No,No,1,23cCr6w4YgxQaYlr3eNTUr
North Carolina State,#CC0000,ACC,The Red & White Song,J. Perry Watson,1961,No,No,No,90,82,No,0,No,No,No,No,No,Yes,No,Yes,Yes,3,2Pn76lkyMhOxJj8maIrIRT
Pitt,#003594,ACC,Hail to Pitt,George Kirk and Lester Milton Taylor,1911,Yes,Yes,No,79,110,No,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,6,55nndPja6lpTsGMinT1SJy
Syracuse,#F76900,ACC,Down the Field,Ralph Murphy and C. Harold Lewis,1914,Yes,Yes,No,137,85,Yes,3,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,6,4zrPkQ9AFljRbPy0JNW6cA
Virginia,#232D4B,ACC,The Good Old Song,Edward H. Craighill,1893,Yes,No,No,112,42,No,0,No,No,No,Yes,Yes,No,No,No,Yes,3,4zymLpKnHG2KURvrSUyUy8
Virginia Tech,#630031,ACC,Tech Triumph,Wilfred P. Maddux and Mattie Eppes,1919,Yes,Yes,No,133,71,No,0,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,5,5v3wGg8VMD8MMYGb8SXBss
Wake Forest,#9E7E38,ACC,O Here's To Wake Forest,C.P. Weaver,1908,No,Yes,No,146,69,No,0,No,No,No,Yes,No,Yes,Yes,No,No,3,3u6THWNCTIdCcGIcJ1FQsN
